Date,Startup Name,Industry Vertical,City  Location,Amount in USD
2019-12-20,Lenskart.com,E-Commerce,Faridabad,231000000.00
2019-12-17,Healthians,B2B-focused foodtech startup,Bengaluru,12000000.00
2019-12-16,Licious,E-Commerce,Bengaluru,30000000.00
2019-12-16,InCred,Finance,Mumbai,5900000.00
2019-12-14,Trell,Video,Bengaluru,2000000.00
2019-12-13,Rivigo,Technology,Gurgaon,20000000.00
2019-12-12,Ecozen,Technology,Pune,6000000.00
2019-12-11,Rein Games,Gaming,Noida,50000000.00
2019-12-06,CarDekho,E-Commerce,Gurgaon,70000000.00
2019-12-03,Dhruva Space,Aerospace,Bengaluru,50000000.00
2019-11-25,Paytm,FinTech,Noida,1000000000.00
2019-11-20,Aye Finance,FinTech,Gurgaon,17411265.00
2019-11-20,Clumio,SaaS,"San Jose,",135000000.00
2019-11-19,Digital Mall Asia,E-Commerce,Delhi,220000000.00
2019-11-19,Furtados School of Music,Education,Tulangan,200000000.00
2019-11-18,Healthians,Health and Wellness,Gurgaon,12000000.00
2019-11-18,Medikabazaar,Healthcare,Mumbai,15800000.00
2019-11-17,Burger Singh,Food and Beverage,Gurgaon,undisclosed
2019-11-15,Ninjacart,B2B Marketing,Bengaluru,26000000.00
2019-11-15,Vogo Automotive,Last Mile Transportation,Kormangala,283000000.00
2019-11-14,Misters,Health and wellness,Gurgaon,486000.00
2019-11-13,Freshworks,Software,San Francisco,150000000.00
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,1500000.00
2019-11-12,SuperGaming,Video Games,Pune,1300000.00
2019-11-11,eBikeGo,Last Mile Transportation,Amritsar,300000.00
2019-10-21,The Man Company,Consumer Goods,Gurgaon,unknown
2019-10-04,Dunzo,Customer Service,Bengaluru,45000000.00
2019-10-02,Udaan,B2B,Bengaluru,585000000.00
2019-09-05,FPL Technologies,FinTech,Pune,4500000.00
2019-09-04,Cashflo,FinTech,Mumbai,3300000.00
2019-09-04,Digital F5,"Advertising, Marketing",Mumbai,6000000.00
2019-09-04,3rdFlix,SaaS,Hyderabad,5000000.00
2019-09-04,75F,IoT,Burnsville,18000000.00
2019-09-04,Myelin Foundry,Information Technology,Bengaluru,1000000.00
2019-09-04,Atomberg Technology,Consumer Technology,Mumbai,10000000.00
2019-09-04,GOQii,Health and Wellness,Menlo Park,450000000.00
2019-09-03,Vyapar App,Accounting,Bengaluru,5000000.00
2019-08-27,Rapido Bike Taxi,Transportation,Bengaluru,3900000000.00
2019-08-23,Zendrive,Automotive,San Francisco,37000000.00
2019-08-23,Lo! Foods,Consumer Goods,Bengaluru,500000.00
2019-08-23,Tala,FinTech,Santa Monica,110000000.00
2019-08-23,AdmitKard,EdTech,Noida,1000000.00
2019-08-22,INDwealth,FinTech,Gurgaon,15000000.00
2019-08-21,HungerBox,Food and Beverage,Bengaluru,6590000.00
2019-08-19,Mishry Reviews,Services,Gurgaon,Undisclosed
2019-08-19,Grofers,E-Commerce,Gurgaon,70000000.00
2019-08-13,Cars24,E-Commerce,Gurugram,11000000.00
2019-08-13,Uniphore,Customer Service Platform,Palo Alto,51000000.00
2019-08-12,Meesho,E-Commerce,Bengaluru,125000000.00
2019-08-01,CarDekho,E-Commerce,Gurgaon,20000000.00
2019-08-01,Progcap,Finance,New Delhi,5000000.00
2019-08-01,MyPetrolPump,Retail,Bengaluru,1600000.00
2019-08-01,Alteria Capital,Finance,Mumbai,140000000.00
2019-08-01,Pine Labs,Information Technology,Noida,38080000.00
2019-07-11,Moglix,E-Commerce,Singapore,60000000.00
2019-07-10,"""BYJU\\'S""",EdTech,Bengaluru,150000000.00
2019-07-10,Ezyhaul,Tech,Singapore,16000000.00
2019-07-10,Indus OS,Tech,Andheri,5750000.00
2019-07-10,HealthAssure,Health Care,Mumbai,2500000.00
2019-07-09,House of Msasaba,Luxury Label,Mumbai,1000000.00
2019-07-08,Board Infinity,EdTech,Chembur,319605.00
