Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron,OpSys,Containers,BlockchainOrg,BlockchainIs
4,C,C,MySQL,MySQL,Linux,Linux,,,Eclipse,,,,
4,C++,C#,SQLite,SQLite,Windows,Windows,,,Vim,,,,
4,C#,JavaScript,,,,,,,Visual Studio,,,,
4,Python,SQL,,,,,,,Visual Studio Code,,,,
4,SQL,,,,,,,,,,,,
9,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,Express,Express,Vim,,,,
9,C#,C,PostgreSQL,Redis,Docker,Docker,Ruby on Rails,Ruby on Rails,,,,,
9,HTML/CSS,HTML/CSS,SQLite,SQLite,Heroku,Heroku,Other(s):,Other(s):,,,,,
9,JavaScript,JavaScript,,,Linux,Linux,,,,,,,
9,Python,Ruby,,,MacOS,MacOS,,,,,,,
9,Ruby,Rust,,,Slack,Slack,,,,,,,
9,Rust,SQL,,,,Other(s):,,,,,,,
9,SQL,TypeScript,,,,,,,,,,,
9,TypeScript,WebAssembly,,,,,,,,,,,
9,WebAssembly,Other(s):,,,,,,,,,,,
9,Other(s):,,,,,,,,,,,,
13,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Firebase,Android,Android,Angular/Angular.js,Express,Vim,,,,
13,HTML/CSS,HTML/CSS,DynamoDB,MySQL,AWS,AWS,ASP.NET,Vue.js,Visual Studio,,,,
13,JavaScript,JavaScript,Firebase,Redis,Docker,Docker,Express,,Visual Studio Code,,,,
13,PHP,Rust,MySQL,,IBM Cloud or Watson,IBM Cloud or Watson,jQuery,,Xcode,,,,
13,SQL,SQL,,,iOS,Linux,Vue.js,,,,,,
13,TypeScript,TypeScript,,,Linux,Slack,,,,,,,
13,,WebAssembly,,,MacOS,Windows,,,,,,,
13,,,,,Microsoft Azure,WordPress,,,,,,,
13,,,,,Slack,,,,,,,,
13,,,,,Windows,,,,,,,,
13,,,,,WordPress,,,,,,,,
16,Bash/Shell/PowerShell,C#,MongoDB,Elasticsearch,,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio,,,,
16,C#,HTML/CSS,Microsoft SQL Server,MongoDB,,Google Cloud Platform,ASP.NET,ASP.NET,Visual Studio Code,,,,
16,HTML/CSS,JavaScript,MySQL,Microsoft SQL Server,,Microsoft Azure,jQuery,React.js,,,,,
16,JavaScript,TypeScript,,SQLite,,,,,,,,,
16,TypeScript,WebAssembly,,,,,,,,,,,
16,VBA,Other(s):,,,,,,,,,,,
17,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Arduino,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ,,,,
17,HTML/CSS,HTML/CSS,PostgreSQL,Firebase,Docker,,Express,Express,Visual Studio Code,,,,
17,JavaScript,Java,,MongoDB,Heroku,,Spring,React.js,,,,,
17,TypeScript,JavaScript,,PostgreSQL,Raspberry Pi,,,Spring,,,,,
17,,TypeScript,,,WordPress,,,Vue.js,,,,,
17,,WebAssembly,,,,,,,,,,,
19,C#,HTML/CSS,DynamoDB,DynamoDB,Android,AWS,Angular/Angular.js,Express,Vim,,,,
19,HTML/CSS,JavaScript,Firebase,,AWS,,ASP.NET,React.js,Visual Studio Code,,,,
19,Java,,Microsoft SQL Server,,Microsoft Azure,,Express,,,,,,
19,JavaScript,,MySQL,,,,jQuery,,,,,,
19,SQL,,SQLite,,,,React.js,,,,,,
19,TypeScript,,,,,,,,,,,,
20,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio,,,,
20,C#,C#,MariaDB,MariaDB,Docker,Docker,ASP.NET,ASP.NET,Visual Studio,,,,
20,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Windows,Windows,jQuery,jQuery,Visual Studio Code,,,,
20,Java,Java,Microsoft SQL Server,Microsoft SQL Server,WordPress,,,,,,,,
20,JavaScript,JavaScript,,,,,,,,,,,
20,PHP,PHP,,,,,,,,,,,
20,Python,Python,,,,,,,,,,,
20,R,R,,,,,,,,,,,
20,SQL,SQL,,,,,,,,,,,
22,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text,,,,
22,C++,C++,MySQL,MySQL,Linux,Linux,Ruby on Rails,Ruby on Rails,Visual Studio,,,,
22,HTML/CSS,HTML/CSS,Oracle,Oracle,Raspberry Pi,Raspberry Pi,,,Visual Studio Code,,,,
22,JavaScript,JavaScript,Redis,Redis,Windows,Windows,,,,,,,
22,Python,Python,,,,,,,,,,,
22,Ruby,Ruby,,,,,,,,,,,
22,SQL,SQL,,,,,,,,,,,
22,TypeScript,TypeScript,,,,,,,,,,,
23,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Couchbase,Docker,Docker,React.js,Express,Visual Studio Code,,,,
23,HTML/CSS,Go,SQLite,DynamoDB,Google Cloud Platform,iOS,Ruby on Rails,React.js,,,,,
23,JavaScript,HTML/CSS,,Elasticsearch,,Slack,,Ruby on Rails,,,,,
23,Python,Java,,Firebase,,,,Vue.js,,,,,
23,Ruby,JavaScript,,Oracle,,,,,,,,,
23,SQL,Kotlin,,,,,,,,,,,
23,,Objective-C,,,,,,,,,,,
23,,Python,,,,,,,,,,,
23,,Ruby,,,,,,,,,,,
23,,SQL,,,,,,,,,,,
23,,Swift,,,,,,,,,,,
23,,TypeScript,,,,,,,,,,,
24,HTML/CSS,Go,Firebase,,AWS,Android,Express,Vue.js,Visual Studio Code,,,,
24,JavaScript,,MongoDB,,WordPress,Docker,jQuery,,,,,,
24,PHP,,MySQL,,,Slack,React.js,,,,,,
24,TypeScript,,,,,,,,,,,,
25,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Visual Studio Code,,,,
25,JavaScript,JavaScript,,,Windows,Windows,jQuery,jQuery,,,,,
25,PHP,PHP,,,,,Laravel,Laravel,,,,,
25,SQL,SQL,,,,,,React.js,,,,,
25,TypeScript,TypeScript,,,,,,Vue.js,,,,,
26,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Android,Angular/Angular.js,Angular/Angular.js,Notepad++,,,,
26,C++,HTML/CSS,MySQL,MySQL,Docker,Docker,ASP.NET,ASP.NET,Sublime Text,,,,
26,C#,JavaScript,Redis,Redis,Linux,iOS,Drupal,,Vim,,,,
26,HTML/CSS,Objective-C,SQLite,SQLite,MacOS,Linux,Express,,Visual Studio,,,,
26,JavaScript,Ruby,,,Microsoft Azure,MacOS,jQuery,,Xcode,,,,
26,PHP,SQL,,,Windows,Microsoft Azure,Ruby on Rails,,,,,,
26,Python,Swift,,,WordPress,Windows,,,,,,,
26,Ruby,TypeScript,,,,,,,,,,,
26,SQL,WebAssembly,,,,,,,,,,,
26,Swift,,,,,,,,,,,,
26,TypeScript,,,,,,,,,,,,
26,VBA,,,,,,,,,,,,
29,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,PostgreSQL,,Docker,Express,Angular/Angular.js,Visual Studio Code,,,,
29,JavaScript,Clojure,MongoDB,SQLite,,,jQuery,React.js,,,,,
29,SQL,JavaScript,MySQL,,,,React.js,Vue.js,,,,,
29,,Python,,,,,,,,,,,
29,,R,,,,,,,,,,,
29,,TypeScript,,,,,,,,,,,
32,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,,,Express,Express,Atom,,,,
32,HTML/CSS,HTML/CSS,PostgreSQL,Redis,,,Flask,Flask,Vim,,,,
32,JavaScript,JavaScript,Redis,,,,,,,,,,
32,PHP,Python,,,,,,,,,,,
32,Python,Other(s):,,,,,,,,,,,
38,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++,,,,
38,HTML/CSS,HTML/CSS,,,,,jQuery,jQuery,Visual Studio,,,,
38,JavaScript,JavaScript,,,,,,,,,,,
38,SQL,SQL,,,,,,,,,,,
39,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++,,,,
39,JavaScript,F#,PostgreSQL,PostgreSQL,Docker,Linux,ASP.NET,ASP.NET,Sublime Text,,,,
39,SQL,SQL,Redis,Redis,Kubernetes,Microsoft Azure,jQuery,,Vim,,,,
39,TypeScript,TypeScript,SQLite,SQLite,Linux,Windows,,,Visual Studio,,,,
39,,,,,Microsoft Azure,,,,Visual Studio Code,,,,
39,,,,,Windows,,,,,,,,
43,C++,C#,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET,Android Studio,,,,
43,C#,HTML/CSS,MySQL,,Arduino,iOS,Django,Spring,Visual Studio,,,,
43,HTML/CSS,Objective-C,Oracle,,iOS,MacOS,Spring,,Visual Studio Code,,,,
43,Java,,SQLite,,MacOS,Raspberry Pi,,,,,,,
43,JavaScript,,,,Raspberry Pi,Slack,,,,,,,
43,Objective-C,,,,Slack,Windows,,,,,,,
43,SQL,,,,Windows,WordPress,,,,,,,
43,,,,,WordPress,,,,,,,,
44,Bash/Shell/PowerShell,C#,Oracle,Other(s):,Linux,Docker,Spring,Spring,IntelliJ,,,,
44,C#,,Other(s):,,Windows,Linux,Vue.js,Vue.js,Visual Studio,,,,
44,HTML/CSS,,,,,Microsoft Azure,,Other(s):,Visual Studio Code,,,,
44,Java,,,,,Windows,,,,,,,
44,JavaScript,,,,,,,,,,,,
44,SQL,,,,,,,,,,,,
44,TypeScript,,,,,,,,,,,,
44,WebAssembly,,,,,,,,,,,,
49,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio,,,,
49,HTML/CSS,HTML/CSS,DynamoDB,DynamoDB,Arduino,Arduino,Django,Express,IntelliJ,,,,
49,Java,Java,Elasticsearch,Elasticsearch,AWS,AWS,Express,Spring,Notepad++,,,,
49,JavaScript,JavaScript,MariaDB,MariaDB,Docker,Docker,Spring,,Vim,,,,
49,PHP,Kotlin,MongoDB,MongoDB,Linux,Linux,,,Visual Studio Code,,,,
49,Python,Python,PostgreSQL,PostgreSQL,Slack,Slack,,,,,,,
49,SQL,SQL,,,Windows,Windows,,,,,,,
49,TypeScript,TypeScript,,,,,,,,,,,
50,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Firebase,Arduino,AWS,Django,Express,Notepad++,,,,
50,C,JavaScript,Firebase,PostgreSQL,AWS,Docker,Express,Flask,Visual Studio Code,,,,
50,C++,Python,MariaDB,Redis,Heroku,Heroku,Flask,jQuery,,,,,
50,HTML/CSS,,MongoDB,Other(s):,Linux,Kubernetes,jQuery,React.js,,,,,
50,Java,,MySQL,,MacOS,Linux,,Vue.js,,,,,
50,JavaScript,,Oracle,,Raspberry Pi,MacOS,,,,,,,
50,PHP,,SQLite,,WordPress,WordPress,,,,,,,
50,Python,,Other(s):,,,,,,,,,,
50,SQL,,,,,,,,,,,,
